#FamilyID	Likelihood of Family
OG0000321	-3.84208
OG0000322	-3.50392
OG0000323	-3.84208
OG0000324	-3.84208
OG0000325	-3.84208
OG0000326	-3.84208
OG0000327	-3.84208
OG0000328	-3.84208
OG0000329	-3.84208
OG0000330	-3.50392
OG0000338	-6.18189
OG0000339	-10.4033
OG0000340	-5.95169
OG0000341	-6.36428
OG0000342	-5.7435
OG0000343	-6.18189
OG0000344	-5.7435
OG0000345	-6.18189
OG0000347	-5.7435
OG0000348	-5.7435
OG0000349	-5.7435
OG0000350	-5.7435
OG0000351	-6.36428
OG0000355	-5.7435
OG0000358	-6.36428
OG0000359	-10.4033
OG0000360	-10.4033
OG0000361	-10.4033
OG0000362	-5.7435
OG0000366	-10.2321
OG0000367	-10.2321
OG0000370	-6.18189
OG0000372	-6.36428
OG0000375	-6.36428
OG0000376	-5.7435
OG0000378	-4.90072
OG0000382	-6.36428
OG0000383	-6.36428
OG0000384	-6.36428
OG0000385	-6.36428
OG0000386	-6.36428
OG0000390	-5.7435
OG0000397	-4.76765
OG0000398	-4.76765
OG0000399	-9.62969
OG0000400	-4.76765
OG0000408	-7.00723
OG0000409	-4.0534
OG0000410	-4.0534
OG0000411	-4.0534
OG0000413	-4.0534
OG0000414	-12.1734
OG0000415	-8.2657
OG0000416	-4.0534
OG0000417	-8.2657
OG0000418	-4.0534
OG0000419	-4.0534
OG0000422	-8.2657
OG0000423	-8.2657
OG0000424	-8.2657
OG0000425	-8.2657
OG0000426	-8.2657
OG0000427	-8.2657
OG0000428	-4.0534
OG0000433	-4.0534
OG0000434	-4.0534
OG0000435	-4.0534
OG0000436	-7.85307
OG0000437	-8.09346
OG0000439	-4.0534
OG0000440	-4.0534
OG0000441	-4.0534
OG0000443	-4.0534
OG0000444	-4.0534
OG0000445	-4.0534
OG0000447	-8.2657
OG0000448	-4.0534
OG0000462	-6.80214
OG0000463	-4.0534
OG0000466	-4.0534
OG0000468	-4.0534
OG0000469	-4.0534
OG0000470	-8.2657
OG0000471	-8.2657
OG0000472	-8.2657
OG0000473	-4.0534
OG0000474	-4.0534
OG0000478	-4.0534
OG0000479	-4.0534
OG0000480	-4.0534
OG0000481	-7.85307
OG0000482	-4.0534
OG0000483	-8.2657
OG0000486	-8.2657
OG0000488	-7.00723
OG0000489	-7.00723
OG0000492	-7.28988
OG0000497	-7.00723
OG0000502	-7.28988
OG0000503	-12.1734
OG0000510	-7.00723
OG0000512	-12.1734
OG0000530	-9.52943
OG0000531	-5.95478
OG0000532	-5.95478
OG0000533	-5.95478
OG0000534	-5.95478
OG0000539	-5.95478
OG0000550	-5.95478
OG0000552	-5.95478
OG0000557	-5.95478
OG0000560	-5.95478
OG0000568	-5.95478
OG0000572	-5.95478
OG0000573	-5.95478
OG0000574	-5.95478
OG0000575	-5.95478
OG0000576	-5.95478
OG0000577	-5.95478
OG0000578	-5.95478
OG0000579	-5.95478
OG0000581	-5.95478
OG0000582	-5.95478
OG0000583	-5.95478
OG0000586	-5.95478
OG0000591	-5.95478
OG0000592	-5.95478
OG0000596	-5.95478
OG0000597	-5.95478
OG0000613	-9.52943
OG0000619	-9.52943
OG0000625	-9.52943
OG0000626	-9.52943
OG0000633	-9.52943
OG0000651	-9.52943
OG0000657	-9.52943
OG0000659	-8.06586
OG0000660	-8.06586
